GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
TAS2R38	Thiourea tasting; Phenylthiocarbamide tasting	AD	N/A		
TAT	"Tyrosinemia, type II"	AR			
TAZ	"Left ventricular noncompaction, X-linked ; Cardiomyopathy, dilated, 3A; 3-Methylglutaconic aciduria, type II (Barth syndrome)"	XL			
TBC1D24	"Myoclonic epilepsy, infantile, familial"	AR	N/A		
TBCE	"Kenny-Caffey syndrome, type 1"	AR	Allelic with Hypoparathyroidism-retardation-dysmorphism syndrome (AR)		
TBP	Spinocerebellar ataxia 17	AD/AR	N/A		
TBX1	Conotruncal anomaly face syndrome; Tetralogy of Fallot	AD	N/A		
TBX15	Cousin syndrome	AR	N/A		
TBX19	Adrenocorticotropic hormone deficiency	AR			
TBX20	Atrial septal defect 4	AD			
TBX22	Cleft palate with or without ankyloglossia	XL	N/A		
TBX3	Ulnar-Mammary syndrome	AD	N/A		
TBX4	Small patella syndrome	AD	N/A		
TBX5	Holt-Oram syndrome	AD			
TBX6	"Spondylocostal dysostosis, autosomal dominant"	AD	N/A		
TBXA2R	"Bleeding disorder, platelet-type 13, susceptibility to"	AD			
TBXAS1	Ghosal hematodiaphyseal syndrome	AR			
TCAP	"Cardiomyopathy, dilated, 1N; Cardiomyopathy, hypertrophic; Muscular dystrophy, limb-girdle, type 2G"	AD/AR			
TCF12	"Craniosynostosis, coronal, autosomal dominant"	AD	N/A		
TCF4	Pitt-Hopkins syndrome	AD	N/A		
TCIRG1	"Osteopetrosis, autosomal recessive 1"	AR			
TCN2	Transcobalamin II deficiency	AR			
TCOF1	Treacher Collins syndrome 1	AD	N/A		
TCTN1	Joubert syndrome 13	AR	N/A		
TCTN2	Meckel syndrome 8	AR	N/A		
TCTN3	Joubert syndrome 18; Orofaciodigital syndrome IV (Mohr-Majewski syndrome)	AR	N/A		
TDGF1	Forebrain anomalies; Congenital cardiac malformations	AD	N/A		
TDP1	"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy"	AR	N/A		
TDRD7	"Cataract, autosomal recessive congenital 4"	AR			
TEAD1	Sveinsson choreoretinal atrophy	AD	N/A		
TECPR2	"Spastic paraplegia 49, autosomal recessive"	AR	N/A		
TECR	"Mental retardation, autosomal recessive 14"	AR	N/A		
TECTA	"Deafness, autosomal recessive 21; Deafness, autosomal dominant 8/12"	AD/AR			
TEK	"Venous malformations, multiple cutaneous and mucosal"	AD			
TENM3	"Microphthalmia, isolated, with coloboma 9"	AR	N/A		
TERC	"Dyskeratosis congenita, autosomal dominant; Aplastic anemia; Pulmonary fibrosis and/or bone marrow failure, telomere-related 2"	AD			
TERT	"Aplastic anemia; Dyskeratosis congenita, autosomal dominant; Dyskeratosis congenita, autosomal recessive; Pulmonary fibrosis and/or bone marrow failure, telomere-related 1"	AD/AR			
TF	Atransferrinemia	AR			
TFAP2A	Branchiooculofacial sydrome	AD			
TFAP2B	"Char syndrome; Patent ductus arteriosus, familial, nonsyndromic"	AD	N/A		
TFR2	"Hemochromatosis, type 3"	AR			
TG	Thyroid dyshormonogenesis 3	AR			
TGFB1	Camurati-Engelmann disease	AD			
TGFB2	"Loeys-Dietz syndrome, type 4"	AD			
TGFB3	Arrhythmogenic right ventricular dysplasia 1	AD			
TGFBI	"Corneal dystrophy, lattice type I; Corneal dystrophy, lattice type IIIA; Corneal dystrophy of Bowman layer, type I; Corneal dystrophy, Avellino type; Corneal dystrophy, Reis-Bucklers type; Corneal dystrophy, Thiel-Behnke type; Corneal dystrophy, Groenouw type I; Corneal dystrophy, epithelial basement membrane "	AD	N/A		
TGFBR1	"Loeys-Dietz syndrome, type 1A; Loeys-Dietz sydnrome, type 2A"	AD			
TGFBR2	"Loeys-Dietz syndrome, type 2B; Loeys-Dietz syndrome, type 1B"	AD			
TGIF1	Holoprosencephaly 4	AD	N/A		
TGM1	"Ichthyosis, lamellar, 1; Ichthyosiform erythroderma, congenital "	AR	N/A		
TGM5	"Peeling skin syndrome, acral type"	AR	N/A		
TGM6	Spinocerebellar ataxia 35	AD	N/A		
TH	"Segawa syndrome, autosomal recessive"	AR			
THAP1	"Dystonia 6, torsion"	AD	N/A		
THBD	"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, susceptibility to, 6"	AD			
THPO	Thrombocythemia 1	AD			
THRA	"Hypothyroidism, congenital, nongoitrous, 6"	AD			
THRB	"Thyroid hormone resistance, general; Thyroid hormone resistance, selective pituitary "	AD/AR			
TIA1	Welander distal myopathy	AD	N/A		
TICAM1	"Herpes simplex encephalitis, susceptibility to, 4"	AD/AR			
TIMM8A	Opticoacoustic nerve atrophy with dementia; Jensen syndrome; Mohr-Tranebjaerg syndrome 	XL			
TIMP3	Sorsby fundus dystrophy	AD	N/A		
TINF2	"Dyskeratosis congenita, autosomal dominant 3; Revesz syndrome"	AD			
TJP2	"Hypercholanemia, familial"	AR	"Allelic with Deafness, autosomal dominant 51 (AD), which has been reported as due to genomic duplications"		
TK2	Mitochondrial DNA depletion syndrome 2 	AR	N/A		
TLL1	Atrial septal defect 6	AD			
TLR3	"Herpes simplex encephalitis, susceptibility to, 2"	AD/AR			
TMC1	"Deafness, autosomal recessive 7"	AR	"Allelic with Deafness, autosomal dominant 36 (AD)"		
TMC6	Epidermodysplasia verruciformis	AR			
TMC8	Epidermodysplasia verruciformis	AR			
TMCO1	"Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome"	AR	 		
TMEM126A	Optic atrophy 7	AR	N/A		
TMEM127	Pheochromocytoma	AD			
TMEM138	Joubert syndrome 16	AR	N/A		
TMEM165	"Congenital disorder of glycosylation, type IIk"	AR	N/A		
TMEM216	"Joubert syndrome 2; Meckel syndrome, type 2"	AR	N/A		
TMEM231	Joubert syndrome 20; Meckel-Gruber syndrome	AR	N/A		
TMEM237	Joubert syndrome 14	AR	N/A		
TMEM38B	"Osteogenesis imperfecta, type XIV"	AR	N/A		
TMEM43	Arrhythmogenic right ventricular dysplasia 5; Emery-Dreifuss muscular dystrophy 7	AD			
TMEM5	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10"	AR	N/A		
TMEM67	"Nephronophthisis 11; Meckel syndrome 3; Joubert syndrome 6; COACH syndrome; Bardet-Biedl syndrome 14, modifier of"	AR (AD)	N/A		
TMEM70	"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2"	AR	N/A		
TMIE	"Deafness, autosomal recessive 6"	AR			
TMPO	"Cardiomyopathy, dilated, 1T"	AD			
TMPRSS15	Enterokinase deficiency	AR			
TMPRSS3	"Deafness, autosomal recessive 10; Deafness, autosomal recessive 8, childhood onset"	AR			
TMPRSS6	Iron-refractory iron deficiency anemia	AR			
TNFRSF10B	"Squamous cell carcinoma, head and neck"	AD			
TNFRSF11A	"Polyostotic osteolytic dysplasia, hereditary expansile; Paget disease of bone; Osteopetrosis, autosomal recessive 7"	AD/AR			
TNFRSF11B	"Paget disease, juvenile"	AR			
TNFRSF13B	Immunoglobulin A deficiency 2; Common variable immunodeficiency 2	AR			
TNFRSF13C	"Immunodeficiency, common variable 4"	AR			
TNFRSF1A	"Periodic fever, familial (TNF receptor-associated periodic syndrome)"	AD			
TNFSF11	"Osteopetrosis, autosomal recessive 2"	AR			
TNNC1	"Cardiomyopathy, familial hypertrophic 13; Cardiomyopathy, dilated, 1Z"	AD			
TNNI2	"Arthrogryposis multiplex congenita, distal, type 2B"	AD	N/A		
TNNI3	"Cardiomyopathy, familial hypertrophic 7; Cardiomyopathy, dilated 1FF; Cardiomyopathy, dilated, 2A; Cardiomyopathy, familial restrictive"	AD/AR			
TNNT1	Nemaline myopathy 5	AR	N/A		
TNNT2	"Cardiomyopathy, familial restrictive, 3; Cardiomyopathy, dilated, 1D; Left ventricular noncompaction 6; Cardiomyopathy, familial hypertrophic, 2 "	AD			
TNNT3	"Arthyrgryposis, distal, type 2B"	AD	N/A		
TNXB	"Ehlers-Danlos syndrome, autosomal recessive, due to tenascin X deficiency"	AD/AR			
TOPORS	Retitinis pigmentosa 31	AD	N/A		
TOR1A	"Dystonia 1, torsion"	AD	N/A		
TP53	"Li-Fraumeni syndrome; Choroid plexus papilloma; Ependymoma, intracranial; Osteogenic sarcoma; Breast cancer, familial; Hepatoblastoma; Non-Hodgkin lymphoma; Adrenocortical carcinoma; Colorectal cancer"	AD			
TP63	"Split-hand/foot malformation 4; Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3; Limb-mammary syndrome; Rapp-Hodgkin syndrome; Orofacial cleft 8; ADULT syndrome; Ankyloblepharon-ectodermal defects-cleft lip/palate"	AD	N/A		
TPCN2	"Skin/hair/eye pigmentation, variation in, 10"	AD	N/A		
TPI1	Triosephosphate isomerase deficiency	AR			
TPK1	Thiamine metabolism dysfunction syndrome 5	AR			
TPM1	"Cardiomyopathy, dilated, 1Y; Cardiomyopathy, familial hypertrophic, 3"	AD			
TPM2	"Nemaline myopathy 4; CAP myopathy; Arthrogryposis multiplex congenita, distal, type 1; Arthrogryposis, distal, type 2B "	AD	N/A		
TPM3	"Nemaline myopathy 1, autosomal dominant ; CAP myopathy "	AD	N/A		
TPMT	Thiopurine S-methyltransferase deficiency	AR			
TPO	Thyroid dyshormonogenesis 2A	AR			
TPP1	"Ceroid lipofuscinosis, neuronal, 2"	AR	N/A		
TPRN	"Deafness, autosomal recessive 79"	AR			
TRAF3	"Herpes simplex encephalitis, susceptibility to, 3"	AD			
TRAPPC2	"Spondyloepiphyseal dysplasia tarda, X-linked"	XL	N/A		
TRAPPC9	"Mental retardation, autosomal recessive 13"	AR	N/A		
TREM2	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy; Nasu-Hakola disease; Early-onset dementia without bone cysts	AR	N/A		
TREX1	"Chilblain lupus 1; Vasculopathy, retinal, with cerebral leukodystrophy; Aicardi-Goutieres syndrome 1"	AD/AR	N/A		
TRHR	"Thyrotropin-releasing hormone resistance, generalized"	AR			
TRIM32	"Muscular dystrophy, limb-girdle, type 2H; Bardet-Biedl syndrome 11 "	AR	N/A		
TRIM37	Mulibrey nanism	AR			
TRIOBP	"Deafness, autosomal recessive 28"	AR			
TRIP11	"Achondrogenesis, type IA"	AR	N/A		
TRMU	"Liver failure, infantile, transient; Reversible infantile respiratory chain deficiency"	AR	N/A		
TRNH	"Deafness, nonsyndromic, sensorineural"	Maternal	"Allelic with Myoclonic epilepsy with ragged red fibers (Maternal); Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes (Maternal)"		
TRNI	"Deafness, mitochondrial; Hypertension, hypercholesterolemia, and hypomagnesemia  (Maternal)"	Maternal	"Allelic with Cardiomyopathy, fatal (Maternal); Cardiomyopathy, familial hypertrophic (Maternal); Encephalopathy, familial progressive necrotizing (Maternal); Mitochondrial multisystemic disorder (Maternal)"		
TRNK	"Parkinson disease, mitochondrial; Myoclonic epilepsy with ragged red fibers; Diabetes-deafness syndrome; Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes"	Maternal	N/A		
TRNL1	"Brain pseudoatrophy, reversible, valproate-induced, susceptibility to"	Maternal	"Allelic with Myoclonic epilepsy with ragged red fibers (Maternal); Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes (Maternal); Diabetes-deafness syndrome (Maternal); Cyclic vomiting syndrome (Maternal); SIDS, susceptibility to (Maternal)"		
TRNP	Myoclonic epilepsy with ragged red fibers	Maternal	N/A		
TRNQ	"Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes"	Maternal	N/A		
TRNS2	"Myoclonic epilepsy with ragged red fibers; Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Retinitis pigmentosa-deafness syndrome"	Maternal	N/A		
TRNT	"Mitochondrial myopathy, lethal"	Maternal	N/A		
TRPA1	"Episodic pain syndrome, familial"	AD	N/A		
TRPC6	Focal segmental glomerulosclerosis 2	AD	N/A		
TRPM1	"Night blindness, congenital stationary, type 1C"	AR	N/A		
TRPM4	"Progressive familial heart block, type IB"	AD			
TRPM6	"Hypomagnesemia 1, intestinal"	AR			
TRPS1	"Trichorhinophalangeal syndrome, type I; Trichorhinophalangeal syndrome, type III"	AD	N/A		
TRPV3	Olmsted syndrome	AD	N/A		
TRPV4	"Spinal muscular atrophy, distal, congenital nonprogressive; Brachyolmia type 3; Metatropic dysplasia; Spondyloepiphyseal dysplasia, Maroteaux type; Scapuloperoneal spinal muscular atrophy; Hereditary motor and sensory neuropathy, type Iic; Spondylometaphyseal dysplasia, Kozlowski type; Parastremmatic dwarfism; Digital arthropathy-brachydactyly, familial "	AD	N/A		
TSC1	Tuberous sclerosis; Lymphangioleiomyomatosis	AD	Allelic with Focal cortical dysplasia of Taylor (AD)		
TSC2	Tuberous sclerosis 2; Lymphangioleiomyomatosis 	AD			
TSEN2	Pontocerebellar hypoplasia type 2B	AR	N/A		
TSEN34	Pontocerebellar hypoplasia type 2C	AR	N/A		
TSEN54	"Pontocerebellar hypoplasia, type 2Al Pontocerebellar hypoplasia type 4"	AR	N/A		
TSFM	Combined oxidative phosphorylation deficiency 3	AR	N/A		
TSHB	"Hypothyroidism, congenital, nongoitrous, 4"	AR			
TSHR	"Hyperthyroidism, familial, gestational; Hypothyroidism, congenital, nongoitrous, 1; Thyroid dysgenesis, autosomal recessive"	AD/AR			
TSHZ1	"Aural atresia, congenital"	AD			
TSPAN12	Exudative vitreoretinopathy/ Retinal dysplasia and severe familial exudative vitreoretinopathy	AD/AR	N/A		
TSPAN7	"Mental retardation, X-linked 58"	XL	N/A		
TSPEAR	"Deafness, autosomal recessive 98"	AR			
TSPYL1	"Sudden infant death with dysgenesis of the testes syndrome; 46, XY disorder of sex development"	AR	N/A		
TTBK2	Spinocerebellar ataxia 11	AD	N/A		
TTC19	Mitochondrial complex III deficiency	AR	N/A		
TTC21B	Nephronophthisis 12; Asphyxiating thoracic dystrophy 4	AR	N/A		
TTC37	Trichohepatoenteric syndrome 1	AR			
TTC7A	"Intestinal atresia, multiple"	AR	N/A		
TTC8	Retinitis pigmentosa 51; Bardet-Biedl syndrome 8	AR	N/A		
TTN	"Cardiomyopathy, familial hypertrophic 9; Cardiomyopathy, dilated, 1G"	AD	"Allelic with Hereditary myopathy with early respiratory failure (AD); Tibial muscular dystrophy (AD); Myopathy, early-onset, with fatal cardiomyopathy (AR); Muscular dystrophy, limb-girdle, type 2J (AR)"		
TTPA	Ataxia with isolated vitamin E deficiency	AR			
TTR	"Amyloidosis, hereditary, transthyretin-related; Dystransthyretinemic hyperthyroxinemia"	AD	"Allelic with Carpal tunnel syndrome, familial (AD)"		
TUBA1A	Lissencephaly 3	AD	N/A		
TUBA8	Polymicrogyria with optic nerve hypoplasia	AR	N/A		
TUBB1	"Macrothrombocytopenia, autosomal dominant, TUBB1-related"	AD	N/A		
TUBB2B	"Polymicrogyria, asymmetric"	AD	N/A		
TUBB3	"Cortical dysplasia, complex, with other brain malformations; Fibrosis of extraocular muscles, congenital, 3A"	AD/AR	N/A		
TUBGCP6	"Microcephaly and chorioretinopathy with or without mental retardation, autosomal recessive"	AR	N/A		
TUFM	Combined oxidative phosphorylation deficiency 4	AR	N/A		
TULP1	Leber congenital amaurosis 15; Retinitis pigmentosa 14	AR	N/A		
TUSC3	"Mental retardation, autosomal recessive 7"	AR	N/A		
TWIST1	"Saethre-Chotzen syndrome; Robinow-Sorauf syndrome; Craniosynostosis, isolated"	AD	N/A		
TWIST2	Setleis syndrome	AR	N/A		
TYK2	Tyrosine kinase 2 deficiency	AR			
TYMP	Mitochondrial DNA depletion syndrome 1 (MNGIE type)	AR	N/A		
TYR	"Albinism, oculocutaneous, type IA; Albinism, oculocutaneous, type IB"	AR	N/A		
TYROBP	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy; Nasu-Hakola disease 	AR	N/A		
TYRP1	"Albinism, oculocutaneous, type III"	AR	N/A		
UBA1	"Spinal muscular atrophy, X-linked 2, infantile"	XL	N/A		
UBE2A	"Mental retardation, X-linked, syndromic, Nascimento-type"	XL	N/A		
UBE3A	Angelman syndrome	AD	N/A		
UBE3B	Blepharophimosis-Ptosis-Intellectual-Disability Syndrome	AR	N/A		
UBIAD1	"Corneal dystrophy, crystalline, of Schnyder"	AD	N/A		
UBQLN2	"Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia"	XL	N/A		
UBR1	Johanson-Blizzard syndrome	AR			
UCHL1	"Parkinson disease 5, autosomal dominant; Early-onset progressive neurodegeneration, autosomal recessive "	AD/AR	N/A		
UGT1A1	"Crigler-Najjar syndrome, type I; Crigler-Najjar syndrome, type II; Gilbert syndrome"	AD/AR	Allelic with Breast milk jaundice (AD/AR)		
UMOD	Familial juvenile hyperuricemic nephropathy; Glomerulocystic kidney disease with hyperuricemia and isosthenuria	AD	Allelic with Medullary cystic kidney disease 2 (AD)		
UMPS	Orotic aciduria	AR			
UNC119	Cone-rod dystrophy	AD	N/A		
UNC13D	"Hemophagocytic lymphohistiocytosis, familial 3"	AR			
UNC93B1	"Herpes simplex encephalitis, susceptibility to, 1"	AR			
UNG	"Immunodeficiency with hyper-IgM, type 5"	AD			
UPB1	Beta-ureidopropionase deficiency	AR	N/A		
UPF3B	"Mental retardation, X-linked, syndromic 14"	XL	N/A		
UPK3A	Renal/urogenital adysplasia	AD	N/A		
UQCRB	Mitochondrial complex III deficiency	AR	N/A		
UQCRC2	Mitochondrial Complex III Deficiency	AR	N/A		
UQCRQ	Mitochondrial complex III deficiency	AR	N/A		
UROC1	Urocanase deficiency	AR	N/A		
UROD	"Porphyria, hepatoerythropoietic; Porphyria cutanea tarda "	AD/AR			
UROS	"Porphyria, congenital erythropoietic"	AR			
USB1	Poikiloderma with neutropenia	AR			
USH1C	"Usher syndrome, type IC; Deafness, autosomal recessive 18"	AR			
USH1G	"Usher syndrome, type 1G"	AR			
USH2A	"Usher syndrome, type 2A"	AR	Allelic with Retinitis pigmentosa 39 (AR)		
USP9Y	"Spermatogenic failure, Y-linked, 2; Nonobstructive azoospermia; Nonobstructive hypospermatogenesis"	YL	N/A		
UVSSA	UV-sensitive syndrome 3	AR	N/A		
VANGL1	Caudal regression syndrome; Neural tube defects	AD	N/A		
VANGL2	Neural tube defects 	AD	N/A		
VAPB	"Amyotrophic lateral sclerosis 8; Spinal muscular atrophy, late-onset, Finkel type"	AD	N/A		
VAX1	"Microphthalmia, syndromic 11"	AR	N/A		
VCAN	Wagner syndrome 1	AD	N/A		
VCL	"Cardiomyopathy, familial hypertrophic 15; Cardiomyopathy, dilated, 1W"	AD			
VCP	"Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia; Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia"	AD	N/A		
VDR	"Vitamin D-dependent rickets, type 2A"	AR			
VHL	"Von Hippel Lindau; Erythrocytosis, familial, 2 (Chuvash polycythemia); Pheochromocytoma"	AD/AR			
VIM	"Cataract, pulverulent, autosomal dominant"	AD	N/A		
VIPAS39	"Arthrogryposis, renal dysfunction, and cholestasis 2"	AR	N/A		
VKORC1	"Vitamin K-dependent clotting factors, combined deficiency of, 2; Drug metabolism, VKORC1-related"	AD/AR			
VLDLR	"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 1"	AR	N/A		
VPS13A	Choreoacanthocytosis	AR	N/A		
VPS13B	Cohen syndrome	AR			
VPS35	Parkinson disease 17	AD	N/A		
VPS37A	"Spastic paraplegia 53, autosomal recessive"	AR	N/A		
VPS45	"Neutropenia, neutrophil dysfunction, bone marrow fibrosis, and nephromegaly"	AR			
VRK1	Pontocerebellar hypoplasia type 1	AR	N/A		
VSX1	"Craniofacial anomalies and anterior segment dysgenesis syndrome; Keratoconus 1; Corneal dystrophy, posterior polymorphous"	AD	N/A		
VSX2	"Microphthalmia, isolated 2; Microphthalmia, isolated, with coloboma 3 "	AR	N/A		
VWF	"von Willebrand disease, type 1; von Willebrand disease, type 2A; von Willebrand disease, type 3"	AD			
WAS	"Wiskott-Aldrich syndrome; Thrombocytopenia 1; Neutropenia, severe congenital, X-linked"	XL			
WDPCP	"Bardet-Biedl syndrome 15; Meckel-Gruber syndrome type 6, modifier of"	AR	N/A		
WDR11	Hypogonadotropic hypogonadism; Kallmann syndrome	AD			
WDR19	Cranioectodermal dysplasia 4; Nephronophthisis 13; Asphyxiating thoracic dystrophy 5	AD	N/A		
WDR35	"Cranioectodermal dysplasia 2; Short rib-polydactyly syndrome, type V"	AR	N/A		
WDR45	Beta-propeller protein-associated neurodegeneration	XL	N/A		
WDR62	"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations"	AR	N/A		
WDR65	van der Woude syndrome 2	AD	N/A		
WDR72	"Amelogenesis imperfecta, hypomaturation type, IIA3"	AR	N/A		
WFS1	Wolfram syndrome 	AR	"Allelic with Wolfram-like syndrome, autosomal dominant (AD); Deafness, autosomal dominant 6/14/38 (AD)"		
WIPF1	Wiskott-Aldrich syndrome 2	AR			
WISP3	"Spondyloepiphyseal dysplasia tarda with progressive arthropathy; Arthropathy, progressive pseudorheumatoid, of childhood"	AR	N/A		
WNK1	"Pseudohypoaldosteronism, type IIC; Neuropathy, hereditary sensory and autonomic, type II"	AD/AR			
WNK4	"Pseudohypoaldosteronism, type IIB"	AD			
WNT1	"Osteoprosis, autosomal dominant; Osteogenesis imperfecta, type XV"	AD/AR	N/A		
WNT10A	"Odontoonychodermal dysplasia; Schopf-Schulz-Passarge syndrome; Tooth agenesis, selective, 4 "	AD/AR	N/A		
WNT10B	Split-hand/foot malformation 6	AR	N/A		
WNT3	"Tetraamelia, autosomal recessive"	AR	N/A		
WNT4	"Mullerian aplasia and hyperandrogenism; 46,XX sex reversal with dysgenesis of kidneys, adrenals, and lungs (SERKAL syndrome)"	AD/AR	N/A		
WNT5A	"Robinow syndrome, autosomal dominant "	AD	N/A		
WNT7A	Al-Awadi/Raas-Rothschild/Schinzel phocomelia syndrome; Fuhrmann syndrome	AR	N/A		
WRAP53	"Dyskeratosis congenita, autosomal recessive 3"	AR			
WRN	Werner syndrome	AR			
WT1	"Denys-Drash syndrome; Wilms tumor, type 1; Frasier syndrome"	AD	"Allelic with Meacham syndrome, which involves multiple malformations, but typically does not involve findins such as Wilms tumor (AD); Allelic with Nephrotic syndrome, type 4 (AD), though it is unclear if this disorder typically occurs without oncologic manifestations"		
XDH	"Xanthinuria, type I"	AR			
XG	XG blood group	BG			
XIAP	"Lymphoproliferative syndrome, X-linked, 2"	XL			
XIST	"X-inactivation, familial skewed, 1"	XL	N/A		
XK	McLeod syndrome	XL			
XPA	"Xeroderma pigmentosum, group A"	AR			
XPC	"Xeroderma pigmentosum, group C"	AR			
XPNPEP2	"Angioedema induced by ACE inhibitors, susceptibility to"	XL			
XPNPEP3	Nephronophthisis-like nephropathy 1	AR	N/A		
YARS	"Charcot-Marie-Tooth disease, dominant intermediate C"	AD	N/A		
